3072010;0
3072011;0
3072012;0
3072013;0
3072014;0
3072015;0
3072016;0
3072017;0
3072018;0
3072019;2690
3072020;2711
3072021;2711
3072022;2733
3072023;2799
3072024;2845
3072025;2869
3072026;0
3072027;0
3072028;0
3072029;0
3072030;0
3072031;0
3072032;0
3072033;0
3072034;0
3072035;2869
3072036;2869
3072037;2845
3072038;0
3072039;0
3072040;0
3072041;0
3072042;0
3072043;0
3072044;0
3072045;0
3072046;0
3072047;0
3072048;0
3072049;3073
3072050;3101
3072051;3101
3072052;3129
3072053;3157
3072054;3101
3072055;3101
3072056;3186
3072057;3216
3072058;3216
3072059;3309
3072060;0
3072061;0
3072062;0
3072063;0
3072064;0
3072065;0
3072066;0
3072067;3373
3072068;3373
3072069;0
3072070;0
3072071;0
3072072;0
3072073;0
3072074;0
3072075;0
3072076;0
3072077;3952
3072078;3952
3072079;3952
3072080;0
3072081;0
3072082;0
3072083;0
3072084;0
3072085;0
3072086;0
3072087;0
3072088;0
3072089;0
3072090;0
3072091;0
3072092;0
3072093;0
3072094;0
3072095;0
3072096;0
3072097;0
3072098;0
3072099;0
3072100;0
3072101;0
3072102;0
3072103;0
3072104;0
3072105;0
3072106;0
3072107;0
3072108;0
3072109;0
3072110;0
3072111;0
3072112;0
3072113;0
3072114;0
3072115;0
3072116;0
3072117;0
3072118;0
3072119;0
3072120;0
3072121;0
3072122;0
3072123;0
3072124;0
3072125;0
3072126;0
3072127;0
3072128;0
3072129;0
3072130;0
3072131;101
3072132;101
3072133;0
3072134;0
3072135;0
3072136;0
3072137;0
3072138;0
3072139;0
3072140;0
3072141;0
3072142;0
3072143;0
3072144;0
3072145;0
3072146;0
3072147;0
3072148;0
3072149;104
3072150;104
3072151;104
3072152;0
3072153;0
3072154;0
3072155;0
3072156;0
3072157;0
3072158;0
3072159;0
3072160;0
3072161;0
3072162;0
3072163;0
3072164;0
3072165;0
3072166;0
3072167;0
3072168;0
3072169;0
3072170;0
3072171;0
3072172;0
3072173;0
3072174;0
3072175;0
3072176;0
3072177;0
3072178;0
3072179;0
3072180;0
3072181;0
3072182;0
3072183;0
3072184;0
3072185;0
3072186;0
3072187;0
3072188;113
3072189;0
3072190;118
3072191;3698
3072192;0
3072193;0
3072194;0
3072195;0
3072196;0
3072197;0
3072198;0
3072199;0
3072200;0
3072201;0
3072202;0
3072203;0
3072204;0
3072205;0
3072206;0
3072207;0
3072208;0
3072209;0
3072210;0
3072211;0
3072212;0
3072213;0
3072214;0
3072215;0
3072216;0
3072217;0
3072218;0
3072219;0
3072220;0
3072221;0
3072222;0
3072223;0
3072224;0
3072225;0
3072226;0
3072227;0
3072228;0
3072229;0
3072230;0
3072231;0
3072232;0
3072233;0
3072234;0
3072235;0
3072236;0
3072237;0
3072238;0
3072239;0
3072240;0
3072241;0
3072242;0
3072243;0
3072244;0
3072245;0
3072246;0
3072247;0
3072248;0
3072249;0
3072250;0
3072251;0
3072252;0
3072253;0
3072254;0
3072255;0
3072256;0
3072257;0
3072258;0
3072259;0
3072260;0
3072261;118
3072262;0
3072263;0
3072264;0
3072265;0
3072266;0
3072267;0
3072268;0
3072269;0
3072270;0
3072271;0
3072272;0
3072273;0
3072274;0
3072275;0
3072276;0
3072277;0
3072278;0
3072279;0
3072280;0
3072281;0
3072282;0
3072283;0
3072284;0
